,country,att,mid,def,ovr,year
90,Brazil,83,81,83,83,2014
91,Brazil,82,80,83,82,2015
92,Brazil,85,80,84,83,2016
93,Brazil,87,82,85,84,2017
94,Brazil,86,83,85,85,2018
95,Brazil,84,80,80,81,2019
96,Brazil,84,80,80,81,2020
97,Brazil,81,80,80,80,2021
98,Brazil,80,80,80,80,2022
99,Bulgaria,81,74,69,73,2005
100,Bulgaria,80,78,68,73,2006
101,Bulgaria,83,74,70,74,2007
102,Bulgaria,80,74,69,73,2008
103,Bulgaria,81,75,70,74,2009
104,Bulgaria,80,74,70,73,2010
105,Bulgaria,73,73,70,72,2011
106,Bulgaria,68,69,68,71,2012
107,Bulgaria,69,67,66,68,2013
108,Bulgaria,66,69,67,68,2014
109,Bulgaria,67,70,66,68,2015
110,Bulgaria,69,70,68,69,2016
111,Bulgaria,69,70,69,70,2017
112,Bulgaria,70,69,67,70,2018
113,Bulgaria,69,65,67,67,2019
114,Bulgaria,65,65,64,65,2020
115,Bulgaria,67,68,66,67,2021
116,Côte d'Ivoire,83,79,75,78,2012
117,Côte d'Ivoire,79,77,72,77,2013
118,Côte d'Ivoire,77,74,74,76,2014
119,Côte d'Ivoire,78,75,68,74,2015
120,Côte d'Ivoire,78,77,71,76,2016
121,Côte d'Ivoire,78,78,76,76,2017
122,Côte d'Ivoire,76,78,77,77,2018
123,Côte d'Ivoire,76,75,76,75,2019
124,Côte d'Ivoire,77,74,75,75,2020
125,Côte d'Ivoire,77,75,76,76,2021
126,Cameroon,72,78,75,75,2005
127,Cameroon,93,70,72,72,2006
128,Cameroon,82,70,73,77,2007
129,Cameroon,79,74,71,75,2008
130,Cameroon,76,76,71,75,2009
131,Cameroon,80,75,75,76,2010
132,Cameroon,78,78,75,76,2011
133,Cameroon,79,75,73,76,2012
134,Cameroon,79,76,76,76,2013
135,Cameroon,75,73,76,75,2014
136,Cameroon,75,71,74,72,2015
137,Cameroon,69,69,77,73,2016
138,Cameroon,71,73,71,71,2017
139,Cameroon,77,74,69,72,2018
140,Cameroon,78,71,74,75,2019
141,Cameroon,75,75,74,75,2020
142,Cameroon,72,71,70,70,2021
143,Canada,68,69,65,67,2016
144,Canada,68,69,65,68,2017
145,Canada,73,72,66,69,2018
146,Canada,73,72,67,71,2019
147,Canada,73,73,66,71,2020
148,Canada,73,74,69,73,2021
149,Canada,75,73,70,73,2022
150,Chile,80,77,71,76,2012
151,Chile,78,76,72,76,2013
152,Chile,77,75,70,76,2014
153,Chile,76,76,73,76,2015
154,Chile,80,77,75,77,2016
155,Chile,79,80,77,79,2017
156,Chile,77,80,75,77,2018
157,Chile,77,79,75,77,2019
158,Chile,78,77,75,77,2020
159,Chile,74,76,73,75,2021
160,Chile,74,76,73,75,2022
161,China PR,71,66,62,65,2005
162,China PR,70,66,62,65,2006
163,China PR,70,66,65,68,2007
164,China PR,61,64,67,65,2008
165,China PR,63,63,65,65,2009
166,China PR,67,66,64,66,2010
167,China PR,59,64,65,65,2011
168,China PR,70,67,66,69,2016
169,China PR,66,64,60,64,2017
170,China PR,67,68,68,69,2018
171,China PR,74,69,66,69,2020
172,China PR,74,68,70,71,2021
173,China PR,74,70,67,70,2022
174,Colombia,85,77,76,76,2012
175,Colombia,80,75,77,78,2013
176,Colombia,77,78,75,77,2014
177,Colombia,81,78,75,78,2015
178,Colombia,75,77,75,76,2016
179,Colombia,79,79,76,78,2017
180,Colombia,81,77,78,79,2018
181,Colombia,79,80,76,79,2019
182,Colombia,82,79,78,79,2020
183,Colombia,81,79,77,78,2021
184,Colombia,81,79,77,78,2022
185,Costa Rica,72,70,65,69,2005
186,Costa Rica,67,69,65,67,2006
187,Costa Rica,67,69,65,67,2007
188,Costa Rica,67,69,65,67,2008
189,Costa Rica,67,69,65,67,2009
190,Costa Rica,67,69,65,67,2010
191,Costa Rica,67,69,65,67,2015
192,Costa Rica,67,69,65,67,2016
193,Costa Rica,67,69,65,67,2017
194,Costa Rica,67,69,65,67,2018
195,Costa Rica,67,69,65,67,2019
196,Costa Rica,67,69,65,67,2020
197,Costa Rica,67,69,65,67,2021
198,Costa Rica,67,69,65,67,2022
199,Croatia,74,75,80,76,2005
200,Croatia,80,74,81,78,2006
201,Croatia,75,72,81,77,2007
202,Croatia,80,73,73,76,2008
203,Croatia,79,79,78,78,2009
204,Croatia,81,77,78,78,2010
205,Croatia,81,79,77,78,2011
206,Croatia,79,79,74,78,2012
207,Croatia,80,82,78,80,2015
208,Croatia,80,82,78,80,2016
209,Croatia,80,82,78,80,2017
210,Croatia,80,82,78,80,2018
211,Croatia,80,82,78,80,2019
212,Croatia,80,82,78,80,2020
213,Croatia,80,82,78,80,2021
214,Croatia,80,82,78,80,2022
215,Czech Republic,83,85,81,83,2005
216,Czech Republic,85,75,79,80,2006
217,Czech Republic,77,79,80,78,2008
218,Czech Republic,77,76,78,77,2009
219,Czech Republic,77,75,75,78,2010
220,Czech Republic,77,77,74,77,2011
221,Czech Republic,73,74,75,75,2013
222,Czech Republic,73,74,73,75,2014
223,Czech Republic,73,73,72,74,2015
224,Czech Republic,73,75,73,75,2016
225,Czech Republic,73,75,74,75,2017
226,Czech Republic,75,74,73,75,2018
227,Czech Republic,75,75,74,76,2019
228,Czech Republic,76,76,75,76,2020
229,Czech Republic,76,76,76,77,2021
230,Czech Republic,79,76,76,77,2022
231,Denmark,85,80,77,80,2005
232,Denmark,82,79,78,79,2006
233,Denmark,81,76,70,78,2007
234,Denmark,80,76,75,77,2008
235,Denmark,79,76,73,77,2009
236,Denmark,75,76,75,75,2010
237,Denmark,75,73,75,75,2011
238,Denmark,78,75,75,75,2012
239,Denmark,72,74,75,74,2013
240,Denmark,75,74,74,74,2014
241,Denmark,75,72,74,74,2015
242,Denmark,74,77,75,76,2016
243,Denmark,76,79,76,78,2017
244,Denmark,76,79,75,77,2018
245,Denmark,77,80,76,78,2019
246,Denmark,78,81,77,78,2020
247,Denmark,76,82,78,78,2021
248,Denmark,77,78,79,79,2022
249,Ecuador,71,66,69,70,2007
250,Ecuador,68,65,68,68,2008
251,Ecuador,69,66,63,70,2009
252,Ecuador,67,74,68,72,2010
253,Ecuador,67,76,67,72,2011
254,Ecuador,72,75,69,73,2012
255,Ecuador,72,73,66,71,2013
256,Ecuador,73,73,67,72,2014
257,Ecuador,71,70,67,69,2015
258,Ecuador,74,72,69,73,2016
259,Ecuador,74,76,71,74,2017
260,Ecuador,70,71,73,72,2018
261,Ecuador,73,73,70,73,2019
262,Ecuador,74,72,75,73,2020
263,Ecuador,74,72,75,73,2021
264,Egypt,69,69,70,68,2012
265,Egypt,66,67,68,68,2013
266,Egypt,70,67,64,69,2014
267,Egypt,72,68,65,68,2015
268,Egypt,69,69,67,69,2016
269,Egypt,76,71,69,72,2017
270,Egypt,68,75,71,72,2018
271,Egypt,69,75,70,73,2019
272,Egypt,76,74,71,74,2020
273,Egypt,78,73,72,73,2021
274,England,89,88,88,88,2005
275,England,91,85,86,86,2006
276,England,89,85,85,85,2007
277,England,87,84,84,84,2008
278,England,84,84,84,84,2009
279,England,82,84,84,83,2010
280,England,83,85,83,83,2011
281,England,82,84,82,82,2012
282,England,84,79,81,81,2013
283,England,85,79,78,80,2014
284,England,81,78,78,80,2015
285,England,81,79,80,80,2016
286,England,82,81,81,81,2017
287,England,84,81,81,82,2018
288,England,85,81,81,82,2019
289,England,87,81,81,82,2020
290,England,85,83,81,83,2021
291,England,86,83,83,83,2022
292,Finland,78,66,71,72,2005
293,Finland,77,69,75,74,2006
294,Finland,75,70,76,74,2007
295,Finland,74,73,73,72,2008
296,Finland,73,68,71,71,2009
297,Finland,75,69,75,72,2010
298,Finland,73,71,73,71,2011
299,Finland,68,71,70,70,2012
300,Finland,66,71,69,70,2013
301,Finland,68,71,69,69,2014
302,Finland,69,68,68,69,2015
303,Finland,66,71,67,70,2016
304,Finland,71,70,70,71,2017
305,Finland,71,69,66,70,2018
306,Finland,71,68,69,70,2019
307,Finland,77,69,68,70,2020
308,Finland,70,71,68,71,2021
309,Finland,72,72,67,71,2022
310,France,94,89,84,88,2005
311,France,92,88,84,87,2006
312,France,90,83,85,85,2007
313,France,87,83,83,84,2008
314,France,85,83,83,83,2009
315,France,85,84,83,83,2010
316,France,83,83,80,82,2011
317,France,86,82,81,83,2012
318,France,82,78,80,81,2013
319,France,82,80,80,81,2014
320,France,80,80,80,81,2015
321,France,82,82,80,82,2016
322,France,82,83,81,83,2017
323,France,82,85,82,84,2018
324,France,83,86,83,85,2019
325,France,84,86,84,85,2020
326,France,87,85,82,85,2021
327,France,85,85,83,85,2022
328,Germany,81,85,85,85,2005
329,Germany,85,81,82,83,2006
330,Germany,86,86,82,84,2007
331,Germany,84,84,81,82,2008
332,Germany,84,83,83,83,2009
333,Germany,84,81,81,82,2010
334,Germany,83,81,81,82,2011
335,Germany,83,84,81,83,2012
336,Germany,85,84,82,84,2013
337,Germany,82,84,78,83,2014
338,Germany,82,82,78,84,2015
339,Germany,78,83,82,84,2016
340,Germany,82,86,84,85,2017
341,Germany,84,85,85,85,2018
342,Germany,84,84,82,84,2019
343,Germany,85,85,80,85,2020
344,Germany,84,85,84,84,2021
345,Germany,83,85,80,85,2022
346,Greece,75,78,81,79,2005
347,Greece,65,81,77,77,2006
348,Greece,78,76,78,77,2007
349,Greece,78,72,76,77,2008
350,Greece,77,77,76,76,2009
351,Greece,76,78,76,76,2010
352,Greece,76,78,74,75,2011
353,Greece,72,74,76,75,2012
354,Greece,74,72,76,74,2013
355,Greece,76,72,76,74,2014
356,Greece,78,73,74,74,2015
357,Greece,76,72,76,75,2016
358,Greece,77,74,78,76,2017
359,Greece,78,74,77,76,2018
360,Greece,77,75,76,76,2019
361,Greece,72,73,72,74,2020
362,Greece,72,75,72,74,2021
363,Greece,73,74,73,74,2022
364,Holland,82,78,71,81,2008
365,Holland,86,81,80,82,2009
366,Holland,85,82,76,81,2011
367,Holland,81,82,83,82,2022
368,Hungary,65,58,63,62,2005
369,Hungary,66,59,63,63,2006
370,Hungary,70,68,65,68,2007
371,Hungary,65,68,68,68,2008
372,Hungary,72,72,67,71,2009
373,Hungary,73,73,69,72,2010
374,Hungary,72,75,67,72,2011
375,Hungary,73,72,69,71,2012
376,Hungary,69,68,67,69,2013
377,Hungary,69,67,67,69,2014
378,Hungary,70,71,67,70,2015
379,Hungary,73,70,68,71,2016
380,Hungary,72,73,70,72,2017
381,Hungary,73,69,71,71,2018
382,Hungary,74,72,74,73,2019
383,Hungary,74,72,72,73,2020
384,Hungary,72,69,72,72,2021
385,Hungary,74,69,73,73,2022
386,Iceland,73,74,69,72,2018
387,Iceland,76,73,70,72,2019
388,Iceland,72,74,70,72,2020
389,Iceland,70,71,69,71,2021
390,Iceland,71,69,70,70,2022
391,India,60,56,57,58,2013
392,India,59,54,53,57,2014
393,India,59,54,53,57,2015
394,India,61,56,57,58,2016
395,India,63,59,58,60,2017
396,India,62,58,58,60,2018
397,India,61,59,60,60,2019
398,India,63,60,60,60,2020
399,India,62,60,60,60,2021
400,Italy,92,83,86,87,2005
401,Italy,88,84,88,87,2006
402,Italy,87,82,86,85,2007
403,Italy,82,83,84,84,2008
404,Italy,86,84,82,85,2009
405,Italy,83,83,81,83,2010
406,Italy,79,81,79,82,2011
407,Italy,84,83,81,83,2012
408,Italy,80,84,81,83,2013
409,Italy,79,78,78,80,2014
410,Italy,79,79,77,79,2015
411,Italy,79,79,84,81,2016
412,Italy,82,81,85,83,2017
413,Italy,85,81,85,83,2018
414,Italy,83,82,83,83,2019
415,Italy,83,83,82,83,2020
416,Italy,83,82,82,82,2021
417,Italy,84,84,82,84,2022
418,Japan,76,77,74,75,2015
419,Japan,76,77,74,75,2016
420,Japan,76,77,74,75,2017
421,Japan,76,77,74,75,2018
422,Japan,76,77,74,75,2019
423,Japan,76,77,74,75,2020
424,Japan,76,77,74,75,2021
425,Japan,76,77,74,75,2022
426,Korea Republic,70,70,67,70,2010
427,Korea Republic,76,71,67,70,2011
428,Korea Republic,69,73,70,71,2012
429,Korea Republic,75,69,70,71,2013
430,Korea Republic,75,71,69,72,2014
431,Korea Republic,66,70,67,70,2015
432,Mexico,70,71,68,70,2005
433,Mexico,72,68,69,71,2006
434,Mexico,78,73,79,78,2007
435,Mexico,80,75,77,78,2008
436,Mexico,77,77,79,78,2009
437,Mexico,75,77,76,77,2010
438,Mexico,78,78,76,77,2011
439,Mexico,83,74,74,75,2012
440,Mexico,76,73,74,75,2013
441,Mexico,78,73,72,74,2014
442,Mexico,79,77,74,76,2015
443,Mexico,76,79,76,77,2016
444,Mexico,79,78,74,78,2017
445,Mexico,79,79,75,78,2018
446,Mexico,75,79,76,77,2019
447,Mexico,80,78,76,78,2020
448,Mexico,78,76,75,76,2021
449,Mexico,80,78,74,77,2022
450,Morocco,74,77,77,76,2015
451,Morocco,74,77,77,76,2016
452,Morocco,74,77,77,76,2017
453,Morocco,74,77,77,76,2018
454,Morocco,74,77,77,76,2019
455,Morocco,74,77,77,76,2020
456,Morocco,74,77,77,76,2021
457,Morocco,74,77,77,76,2022
458,Netherlands,83,82,77,80,2010
459,Netherlands,88,84,76,81,2012
460,Netherlands,85,79,75,80,2013
461,Netherlands,84,76,75,79,2014
462,Netherlands,78,82,77,79,2015
463,Netherlands,81,78,77,79,2016
464,Netherlands,81,81,80,81,2017
465,Netherlands,79,80,80,80,2018
466,Netherlands,83,81,83,82,2019
467,Netherlands,82,83,83,83,2020
468,Netherlands,81,83,83,82,2021
469,Netherlands,81,83,83,82,2022
470,New Zealand,68,62,60,60,2008
471,New Zealand,65,59,62,60,2009
472,New Zealand,67,59,64,62,2010
473,New Zealand,67,63,66,64,2011
474,New Zealand,65,66,65,66,2012
475,New Zealand,66,58,64,65,2013
476,New Zealand,65,55,64,65,2014
477,New Zealand,65,60,65,65,2015
478,New Zealand,66,61,66,64,2016
479,New Zealand,71,65,64,66,2018
480,New Zealand,70,68,67,68,2019
481,New Zealand,72,67,68,68,2020
482,New Zealand,72,66,67,68,2021
483,New Zealand,69,67,68,68,2022
484,Nigeria,77,71,74,73,2005
485,Nigeria,83,72,76,75,2006
486,Nigeria,82,71,76,78,2007
487,Nigeria,82,70,78,77,2008
488,Northern Ireland,65,67,67,68,2005
489,Northern Ireland,65,67,70,69,2006
490,Northern Ireland,63,67,68,69,2007
491,Northern Ireland,69,67,69,69,2008
492,Northern Ireland,71,69,71,69,2009
493,Northern Ireland,72,70,74,71,2010
494,Northern Ireland,68,71,74,71,2011
495,Northern Ireland,72,69,70,71,2012
496,Northern Ireland,70,68,69,70,2013
497,Northern Ireland,71,69,69,70,2014
498,Northern Ireland,69,69,67,69,2015
499,Northern Ireland,68,69,69,70,2016
500,Northern Ireland,69,72,72,71,2017
501,Northern Ireland,71,71,71,71,2018
502,Northern Ireland,69,71,72,71,2019
503,Northern Ireland,68,70,74,71,2020
504,Northern Ireland,67,71,71,70,2021
505,Northern Ireland,65,70,71,70,2022
506,Norway,76,73,77,75,2005
507,Norway,83,78,77,78,2006
508,Norway,77,76,74,75,2007
509,Norway,76,76,75,75,2008
510,Norway,78,74,74,74,2009
511,Norway,77,74,76,75,2010
512,Norway,80,73,76,74,2011
513,Norway,75,74,74,74,2012
514,Norway,79,71,72,73,2013
515,Norway,71,73,70,72,2014
516,Norway,69,72,70,71,2015
517,Norway,70,72,71,73,2016
518,Norway,72,74,71,73,2017
519,Norway,74,74,73,74,2018
520,Norway,75,75,74,75,2019
521,Norway,78,76,74,76,2020
522,Norway,79,77,74,76,2021
523,Norway,81,76,73,76,2022
524,Paraguay,78,67,68,70,2005
525,Paraguay,79,68,69,71,2006
526,Paraguay,80,73,70,75,2007
527,Paraguay,79,75,74,75,2008
528,Paraguay,81,73,75,75,2009
529,Paraguay,75,71,74,75,2010
530,Paraguay,79,73,70,74,2013
531,Paraguay,78,73,70,74,2014
532,Paraguay,72,71,71,71,2015
533,Paraguay,73,71,71,73,2016
534,Paraguay,74,75,72,75,2017
535,Paraguay,75,75,72,75,2018
536,Paraguay,74,74,72,73,2019
537,Paraguay,73,75,73,74,2020
538,Paraguay,72,74,72,73,2021
539,Paraguay,72,74,72,73,2022
540,Peru,80,75,69,72,2012
541,Peru,76,69,69,72,2013
542,Peru,77,69,70,72,2014
543,Peru,71,71,70,71,2015
544,Peru,69,66,67,68,2016
545,Peru,72,70,68,70,2017
546,Peru,73,73,72,72,2018
547,Peru,76,72,70,72,2019
548,Peru,77,73,72,73,2020
549,Peru,71,73,71,72,2021
550,Peru,71,73,71,72,2022
551,Poland,71,71,71,72,2005
552,Poland,74,69,71,72,2006
553,Poland,77,71,70,74,2007
554,Poland,80,74,69,74,2008
555,Poland,75,73,68,74,2009
556,Poland,72,73,66,72,2010
557,Poland,78,74,67,74,2011
558,Poland,80,75,73,75,2012
559,Poland,79,74,67,74,2013
560,Poland,77,73,74,75,2014
561,Poland,78,72,74,75,2015
562,Poland,82,75,74,76,2016
563,Poland,82,77,77,79,2017
564,Poland,82,76,75,77,2018
565,Poland,83,75,76,78,2019
566,Poland,84,74,76,77,2020
567,Poland,82,74,74,77,2021
568,Poland,81,74,75,77,2022
569,Portugal,85,83,83,83,2005
570,Portugal,86,86,83,84,2006
571,Portugal,79,79,81,81,2007
572,Portugal,76,83,77,82,2008
573,Portugal,78,84,82,82,2009
574,Portugal,79,84,82,82,2010
575,Portugal,82,78,81,81,2011
576,Portugal,84,81,81,81,2012
577,Portugal,82,82,80,80,2013
578,Portugal,82,79,80,80,2014
579,Portugal,83,80,75,80,2015
580,Portugal,85,80,79,81,2016
581,Portugal,85,82,81,83,2017
582,Portugal,85,82,80,82,2018
583,Portugal,87,83,82,83,2019
584,Portugal,87,83,82,83,2020
585,Portugal,85,82,82,83,2021
586,Portugal,85,83,85,84,2022
587,Rep. Of Korea,75,75,76,76,2007
588,Rep. Of Korea,68,71,67,69,2008
589,Rep. Of Korea,69,69,66,70,2009
590,Republic Of Ireland,79,80,78,80,2005
591,Republic Of Ireland,80,81,77,80,2006
592,Republic Of Ireland,80,76,75,76,2007
593,Republic Of Ireland,81,75,77,75,2008
594,Republic Of Ireland,79,76,75,75,2009
595,Republic of Ireland,78,73,74,75,2010
596,Republic of Ireland,77,74,75,76,2011
597,Republic of Ireland,77,76,74,76,2012
598,Republic of Ireland,74,74,72,74,2013
599,Republic of Ireland,75,75,73,73,2014
600,Republic of Ireland,74,75,71,74,2015
601,Republic of Ireland,75,74,75,75,2016
602,Republic of Ireland,76,76,76,75,2017
603,Republic of Ireland,75,74,75,75,2018
604,Republic of Ireland,72,74,75,74,2019
605,Republic of Ireland,73,73,77,75,2020
606,Republic of Ireland,71,72,75,73,2021
607,Republic of Ireland,69,73,74,73,2022
608,Romania,71,74,67,71,2005
609,Romania,69,66,73,70,2006
610,Romania,72,69,77,73,2007
611,Romania,74,66,77,74,2008
612,Romania,76,77,74,76,2009
613,Romania,79,68,76,75,2010
614,Romania,67,72,73,72,2011
615,Romania,75,68,70,72,2012
616,Romania,73,69,69,71,2013
617,Romania,73,72,71,73,2014
618,Romania,71,72,70,72,2015
619,Romania,71,72,73,73,2016
620,Romania,74,71,72,73,2017
621,Romania,72,72,70,72,2018
622,Romania,73,73,70,72,2019
623,Romania,72,73,69,73,2020
624,Romania,72,74,71,73,2021
625,Romania,72,72,68,72,2022
626,Russia,64,73,72,72,2005
627,Russia,80,70,75,74,2006
628,Russia,81,73,75,78,2007
629,Russia,81,72,80,76,2008
630,Russia,82,76,76,78,2009
631,Russia,82,77,79,80,2010
632,Russia,82,77,78,79,2011
633,Russia,81,79,78,79,2012
634,Russia,78,78,76,78,2013
635,Russia,76,75,75,77,2014
636,Russia,78,77,75,77,2015
637,Russia,78,76,77,77,2016
638,Russia,77,75,75,76,2017
639,Russia,80,78,76,78,2018
640,Russia,79,76,76,77,2019
641,Russia,79,77,76,77,2020
642,Russia,77,76,76,76,2021
643,Saudi Arabia,73,72,73,72,2018
644,Scotland,73,76,78,77,2005
645,Scotland,72,73,76,74,2006
646,Scotland,73,77,74,74,2007
647,Scotland,75,77,71,75,2008
648,Scotland,74,76,73,76,2009
649,Scotland,75,76,74,75,2010
650,Scotland,77,74,74,75,2011
651,Scotland,73,74,74,75,2012
652,Scotland,74,74,71,73,2013
653,Scotland,75,74,68,73,2014
654,Scotland,76,72,70,73,2015
655,Scotland,76,74,72,74,2016
656,Scotland,74,75,71,74,2017
657,Scotland,75,74,74,74,2018
658,Scotland,72,75,74,75,2019
659,Scotland,68,76,74,76,2020
660,Scotland,72,76,76,75,2021
661,Scotland,73,76,77,76,2022
662,Serbia,77,74,67,77,2007
663,Slovenia,68,69,70,69,2005
664,Slovenia,72,66,70,70,2006
665,Slovenia,77,69,69,72,2007
666,Slovenia,73,61,67,69,2008
667,Slovenia,72,69,66,70,2009
668,Slovenia,74,69,68,70,2010
669,Slovenia,73,71,71,71,2011
670,Slovenia,78,71,69,73,2012
671,Slovenia,72,69,71,72,2013
672,Slovenia,71,73,71,73,2014
673,Slovenia,72,71,68,72,2015
674,Slovenia,70,73,72,73,2016
675,Slovenia,73,76,70,74,2017
676,Slovenia,72,76,72,75,2018
677,Slovenia,70,75,72,74,2019
678,Slovenia,74,73,71,74,2020
679,Slovenia,70,73,71,73,2021
680,South Africa,76,69,67,71,2008
681,South Africa,70,72,68,72,2009
682,South Africa,72,70,70,72,2010
683,South Africa,74,71,70,72,2011
684,South Africa,71,70,69,71,2012
685,South Africa,68,69,68,70,2013
686,South Africa,65,69,69,69,2014
687,South Africa,68,71,66,70,2015
688,South Africa,67,71,72,71,2016
689,South Africa,70,72,72,72,2017
690,South Africa,72,70,70,71,2018
691,South Africa,71,70,70,70,2019
692,South Africa,72,71,70,71,2020
693,South Africa,71,71,71,71,2021
694,Spain,90,88,86,88,2005
695,Spain,86,86,85,87,2006
696,Spain,86,83,82,85,2007
697,Spain,87,85,83,84,2008
698,Spain,87,85,83,85,2009
699,Spain,87,86,83,85,2010
700,Spain,86,85,84,85,2011
701,Spain,86,87,85,86,2012
702,Spain,84,86,83,86,2013
703,Spain,86,84,82,84,2014
704,Spain,80,84,82,83,2015
705,Spain,81,85,83,84,2016
706,Spain,84,85,85,85,2017
707,Spain,84,86,85,85,2018
708,Spain,84,85,85,85,2019
709,Spain,83,86,85,85,2020
710,Spain,82,83,82,84,2021
711,Spain,83,84,83,84,2022
712,Sweden,83,76,75,77,2005
713,Sweden,85,74,76,77,2006
714,Sweden,79,77,72,76,2007
715,Sweden,85,75,73,76,2008
716,Sweden,83,74,74,77,2009
717,Sweden,82,75,73,77,2010
718,Sweden,81,73,75,76,2011
719,Sweden,83,76,73,76,2012
720,Sweden,81,75,73,75,2013
721,Sweden,77,74,74,75,2014
722,Sweden,80,75,72,74,2015
723,Sweden,76,73,74,74,2016
724,Sweden,77,76,76,76,2017
725,Sweden,76,75,75,75,2018
726,Sweden,76,75,75,76,2019
727,Sweden,77,76,74,76,2020
728,Sweden,78,76,75,76,2021
729,Sweden,79,76,75,76,2022
730,Switzerland,78,77,77,77,2005
731,Switzerland,79,75,78,77,2006
732,Switzerland,78,73,76,76,2007
733,Switzerland,80,76,75,75,2008
734,Switzerland,77,78,74,77,2009
735,Switzerland,75,77,75,76,2010
736,Switzerland,75,76,75,76,2011
737,Switzerland,79,74,76,76,2012
738,Switzerland,75,77,75,76,2013
739,Switzerland,74,76,77,76,2014
740,Switzerland,76,77,78,77,2015
741,Switzerland,76,77,78,78,2016
742,Switzerland,74,78,78,78,2017
743,Switzerland,74,77,78,78,2018
744,Switzerland,77,77,78,78,2019
745,Switzerland,76,79,78,78,2020
746,Switzerland,75,78,77,78,2021
747,Switzerland,75,78,77,78,2022
748,Tunisia,69,68,63,64,2005
749,Tunisia,69,70,68,67,2006
750,Tunisia,74,64,73,69,2007
751,Turkey,81,81,73,78,2005
752,Turkey,75,76,70,73,2006
753,Turkey,79,77,72,79,2007
754,Turkey,80,78,72,77,2008
755,Turkey,79,78,75,78,2009
756,Turkey,78,78,77,78,2010
757,Turkey,79,79,76,78,2011
758,Turkey,78,76,74,76,2012
759,Turkey,78,76,74,77,2013
760,Turkey,76,79,76,78,2014
761,Turkey,78,77,75,76,2015
762,Turkey,77,78,76,77,2016
763,Turkey,78,79,78,78,2017
764,Turkey,78,77,74,76,2018
765,Turkey,78,77,74,76,2019
766,Turkey,78,76,75,77,2020
767,Turkey,79,76,75,77,2021
768,Ukraine,82,70,71,75,2007
769,Ukraine,81,71,67,74,2008
770,Ukraine,78,72,68,74,2009
771,Ukraine,78,74,72,76,2010
